______________________________________________________ 
|     Chave|     Dados|                          Nome|
|.......192|.........0|......................Southern|
|.......192|.........0|....................Karrington|
|.......192|.........0|....................Kerrington|
|.......192|.........0|....................Kensington|
|.......195|.........0|........................Zaineb|
|.......196|.........0|........................Minori|
|.......196|.........0|......................Missouri|
|.......196|.........0|.......................Maryori|
|.......196|.........0|........................Malori|
|.......196|.........0|........................Malori|
|.......196|.........0|........................Minori|
|.......198|.........0|..........................Troi|
|.......199|.........0|........................Lennox|
|.......201|.........0|.......................Yexalen|
|.......203|.........0|.......................Yeshaya|
|.......205|.........0|.........................Vayle|
|.......205|.........0|.......................Videlle|
|.......206|.........0|.......................Srishti|
|.......207|.........0|........................Behruz|
|.......208|.........0|.........................Yavin|
|.......208|.........0|.........................Yadin|
|.......208|.........0|........................Tasnim|
|.......208|.........0|.........................Yujin|
|.......208|.........0|.........................Yavin|
|.......208|.........0|.........................Yuvin|
|.......208|.........0|.........................Yuxin|
|.......208|.........0|.......................Yolandi|
|.......209|.........0|.....................Nicholson|
|.......211|.........0|........................Kelvin|
|.......211|.........0|........................Korvin|
|.......214|.........0|......................Symphony|
|.......214|.........0|......................Stephany|
|.......221|.........0|.....................Sudeeksha|
|.......221|.........0|.....................Sudeeksha|
|.......222|.........0|........................Ramsay|
|.......222|.........0|........................Ramsay|
|.......222|.........0|......................Renesmay|
|.......222|.........0|......................Renesmay|
|.......228|.........0|.........................Khyre|
|.......230|.........0|......................Oreoluwa|
|.......230|.........0|......................Oreoluwa|
|.......230|.........0|......................Oreoluwa|
|.......234|.........0|.......................Teniola|
|.......240|.........0|...........................Ram|
|.......240|.........0|........................Wilmer|
|.......241|.........0|......................Roselynn|
|.......241|.........0|......................Roselynn|
|.......241|.........0|......................Rocklynn|
|.......241|.........0|.........................Xamir|
|.......241|.........0|......................Rayelynn|
|.......241|.........0|......................Rocklynn|
|.......242|.........0|.....................Macarthur|
|.......243|.........0|........................Honour|
|.......244|.........0|..........................Riko|
|.......244|.........0|..........................Rook|
|.......244|.........0|..........................Rook|
|.......244|.........0|..........................Reko|
|.......244|.........0|..........................Riko|
|.......247|.........0|.......................Danitza|
|.......249|.........0|.........................Nason|
|.......249|.........0|.........................Nolon|
|.......250|.........0|.........................Amity|
|.......253|.........0|........................Raedyn|
|.......253|.........0|........................Raidyn|
|.......253|.........0|........................Raedyn|
|.......253|.........0|........................Raedyn|
|.......256|.........0|.......................Sunniva|
|.......259|.........0|........................Sensei|
|.......259|.........0|........................Shyloh|
|.......259|.........0|........................Sensei|
|.......262|.........0|.........................Alexa|
|.......265|.........0|.........................Angus|
|.......265|.........0|.........................Augus|
|.......265|.........0|.........................Aryus|
|.......265|.........0|.........................Arcus|
|.......265|.........0|.........................Arcus|
|.......265|.........0|.........................Alius|
|.......265|.........0|.........................Augus|
|.......269|.........0|.........................Pippa|
|.......274|.........0|.........................Lilou|
|.......276|.........0|.........................Embry|
|.......276|.........0|.........................Embry|
|.......276|.........0|.........................Emery|
|.......276|.........0|.........................Emery|
|.......276|.........0|.........................Emmry|
|.......276|.........0|.........................Emory|
|.......276|.........0|.........................Emory|
|.......286|.........0|..........................Saud|
|.......291|.........0|........................Jaxzen|
|.......295|.........0|.........................Calum|
|.......298|.........0|........................Yelina|
|.......298|.........0|........................Yalina|
|.......300|.........0|........................Jacque|
|.......304|.........0|.......................Ifeanyi|
|.......304|.........0|......................Everrett|
|.......307|.........0|.........................Jhori|
|.......307|.........0|.........................Jhori|
|.......307|.........0|.......................Jakarri|
|.......307|.........0|.......................Jabarri|
|.......307|.........0|.........................Jhori|
|.......307|.........0|.........................Jibri|
|.......307|.........0|.........................Joori|
|.......307|.........0|.......................Jamarri|
|.......307|.........0|.......................Javarri|
|.......309|.........0|........................Nimrit|
|.......312|.........0|.......................Coreyon|
|.......315|.........0|.......................Trooper|
|.......315|.........0|.......................Trooper|
|.......316|.........0|.........................Major|
|.......316|.........0|...................Luisenrique|
|.......316|.........0|...................Luisenrique|
|.......318|.........0|.........................Ziggy|
|.......323|.........0|......................Tristian|
|.......323|.........0|.......................Tristan|
|.......323|.........0|.......................Tristan|
|.......323|.........0|.......................Tristan|
|.......325|.........0|........................Tremir|
|.......325|.........0|........................Tahmir|
|.......325|.........0|........................Tremir|
|.......328|.........0|........................Ramiro|
|.......331|.........0|........................Corryn|
|.......331|.........0|........................Corryn|
|.......331|.........0|.......................Cameryn|
|.......331|.........0|.......................Cameryn|
|.......331|.........0|.......................Cambryn|
|.......331|.........0|........................Camryn|
|.......334|.........0|........................Pavlos|
|.......334|.........0|.......................Yoandri|
|.......336|.........0|........................Shneur|
|.......336|.........0|........................Saesha|
|.......336|.........0|........................Saesha|
|.......338|.........0|.......................Kourtni|
|.......339|.........0|..........................Eimy|
|.......340|.........0|....................Eileithyia|
|.......341|.........0|........................Nathyn|
|.......352|.........0|..........................Duru|
|.......353|.........0|.......................Tempest|
